sentiment,top_themes,pain_points,delighters,suggested_actions,summary,app,sample_id
negative,"[{'theme': 'little clunky and graphics are rough though you suspended my page igwe arsenal claiming the offense of impersonation which i never committed i still rate your app very high', 'polarity': 'mixed', 'evidence': []}]","['little clunky and graphics are rough though you suspended my page igwe arsenal claiming the offense of impersonation which i never committed i still rate your app very high', 'lift the suspension on my page so i can continue to entertain my audience thank you']",['music is not available on profile when scrolling reels sometimes the volume is not working we have to rescroll or replay the videos please fix it very we'],[],... a little clunky and graphics are rough though you suspended my page igwe arsenal claiming the offense of impersonation which i never committed i still rate,Facebook,0
positive,"[{'theme': 'x is one of the fastest platforms for realtime conversations as a writer', 'polarity': 'mixed', 'evidence': []}]",['x is one of the fastest platforms for realtime conversations as a writer'],['x is one of the fastest platforms for realtime conversations as a writer'],[],x is a powerful platform for writing and sharing ideas and opinions,Twitter,1
positive,"[{'theme': 'i enjoy to use this application it is very okay and nice i hardly use this app but i do not ike to use thankyou dear facebook you keep on taking away my facebook', 'polarity': 'mixed', 'evidence': []}]",['i enjoy to use this application it is very okay and nice i hardly use this app but i do not ike to use thankyou dear facebook you keep on taking away my facebook for nothing and i have done nothing wrong done very heavily woke and censored'],['i enjoy to use this application it is very okay and nice i hardly use this app but i do not ike to use thankyou dear facebook you keep on taking away my facebook for nothing and i have done nothing wrong done very heavily woke and censored'],[],i enjoy to use this application it is very okay and nice i hardly use this app but i do not ike to use thankyou dear facebook you keep on taking away my facebook,Facebook,2
positive,"[{'theme': 'good but slow', 'polarity': 'mixed', 'evidence': []}]",['slow'],['good for sending messages photos and links the best private chatting platform add more interesting features'],"[{'owner': 'Engineering', 'action': 'Improve performance/loading', 'priority': 'P1'}]",good but slow,WhatsApp,3
positive,"[{'theme': 'nerfed', 'polarity': 'mixed', 'evidence': []}]",['i gotta wait a whole hour just to get a skip i gotta wait a whole hour just to get a skip i gotta wait a whole hour just to get a skip i gotta wait a whole hour just to get a skip'],['nice performance'],[],i love this app,Spotify,4
positive,"[{'theme': 'candy crush addict', 'polarity': 'mixed', 'evidence': []}]",['This app should start paying the users'],['candy crush saga'],[],Candy crush is a sweet and interesting game that should be paid for,Candy Crush Saga,5
positive,"[{'theme': 'i want to do', 'polarity': 'mixed', 'evidence': []}]",['i want to do a presentation'],['good for us easy to use useful tool on the go'],[],a good presentationmaking app,Microsoft PowerPoint,6
positive,"[{'theme': 'app is very reliable these days main complaint is the bearly visible edit button in the plain text file editor in dark mode which gets consumed by the surrounding text just make the edit button blue simples also', 'polarity': 'mixed', 'evidence': []}]",['i have to pay to access files someone else has shared to me via their space'],['app is very reliable these days main complaint is the bearly visible edit button in the plain text file editor in dark mode which gets consumed by the surrounding text just make the edit button blue simples also 1 as dropbox subscription way too expensive i just paid one dollar first ahuh so expensive'],[],a reliable and reliable app,Dropbox,7
positive,"[{'theme': 'i love this game', 'polarity': 'mixed', 'evidence': []}]",['i have stress seizures keeps my mind busy 10 out of 10 must try fun cant stop playing sooooo incredible and fantastic i jst love it love this gameand i am enjoyed the mi'],['i love this game'],[],Candy crush saga is a fun and addicting game that's sure to keep you busy.,Candy Crush Saga,8
positive,"[{'theme': 'i think is a very good app', 'polarity': 'mixed', 'evidence': []}]","[""I'm not sure what to say about this app. I'm not sure what to say about this app. I'm not sure what to say about this app. I'm not sure what to say about this app. I'm not sure what to say about this app.""]",['i like the way the ad works'],[],When I first started working with the Almighty God I was able to get a lot of help from my friends because I was able to get a lot of help from them.,Facebook Messenger,9
negative,"[{'theme': 'csam has', 'polarity': 'mixed', 'evidence': []}]",['crashing'],['a lot of features'],"[{'owner': 'Engineering', 'action': 'Fix crashes / stability', 'priority': 'P0'}]",grok is now generating csam when prompted to by users,Twitter,10
negative,"[{'theme': 'hey whatsapp ive uninstalled and reinstalled my whatsapp but same problem is persisting could you check that the update is not the issue my whats', 'polarity': 'mixed', 'evidence': []}]",['hey whatsapp ive uninstalled and reinstalled my whatsapp but same problem is persisting could you check that the update is not the issue my whatsapp updated some hours ago but ever since then it refuses to open note i was using already'],['good'],"[{'owner': 'Engineering', 'action': 'Investigate update regressions', 'priority': 'P1'}]",Whatsapp is a great app but it's not working properly,WhatsApp,11
negative,"[{'theme': 'flip', 'polarity': 'mixed', 'evidence': []}]",['i need to flip u'],['a good app'],[],a sluggish and unreliable app,Flipboard,12
positive,"[{'theme': 'adware', 'polarity': 'mixed', 'evidence': []}]",['Need to be able to customize ring tone walking around taipei everyone got the same ring tone it is crazy i loooooooooooooooooove the fact that its encrypted that way noone can read or listen to my call or read what i write to'],['fast response'],[],...,LINE,13
positive,"[{'theme': 'good', 'polarity': 'mixed', 'evidence': []}]","[""It's a slow phone""]",['it is possible to stay in a voice call but turns off video call help full for all great it is a great app i like how it runs its a slower anything and on top of that it is a fantastic system it very easy and fun faster i love how i'],"[{'owner': 'Engineering', 'action': 'Improve performance/loading', 'priority': 'P1'}]",It's a great app. It's fast and reliable. It's a fantastic system. It's a great phone.,WhatsApp,14
negative,"[{'theme': 'cant log in and it was so hard to make an account here i never downloaded this app but login emails keep coming and suddenly read a review on behalf of my account here its definitely', 'polarity': 'mixed', 'evidence': []}]","[""Can't log in and it was so hard to make an account here i never downloaded this app but login emails keep coming and suddenly read a review on behalf of my account here its definitely a scam help me to report this app after updated dm cant work properly cant""]",['good for messaging and for getting everything you search for'],"[{'owner': 'Engineering', 'action': 'Fix login/auth issues', 'priority': 'P0'}, {'owner': 'Engineering', 'action': 'Investigate update regressions', 'priority': 'P1'}]",It's a good app but it's not a good app for a lot of people.,Twitter,15
negative,"[{'theme': ""i hate seeing news that really don't concern me if the only news is just about the west then its needless of letting me have itam kenyan and africa is"", 'polarity': 'mixed', 'evidence': []}]","[""I hate seeing news that really don't concern me if the only news is just about the west then its needless of letting me have itam kenyan and africa is my biggest business when flipping through the for you section its absolutely jam packed and preloaded full of topics""]","[""i hate seeing news that really don't concern me if the only news is just about the west then its needless of letting me have itam kenyan and africa is my biggest business""]",[],It's a good app for a few reasons: It's a good app for a few reasons: It's a good app for a few reasons: It,Flipboard,16
positive,"[{'theme': 'app became a peace of this is my 5th time you ban my account and i didnt see anything wrong you know its very important to me because my family is long distance there are so', 'polarity': 'mixed', 'evidence': []}]",['very good application dumb app doesnt let me change and delete my old phone number marketplace automatically pops out very often home tab suddenly becomes full of suggested first time seen pages also its not possible to disable suggested annoying reels suggestions to follow anything are flooding the home screen app became a peace of this'],['very good application dumb app doesnt let me change and delete my old phone number marketplace automatically pops out very often home tab suddenly becomes full of suggested first time seen pages also its not possible to disable suggested annoying reels suggestions to follow anything are flooding the home screen app became a peace of this'],[],very good application dumb app doesnt let me change and delete my old phone number marketplace automatically pops out very often home tab suddenly becomes full of suggested first time seen pages also its not possible to disable,Facebook,17
negative,"[{'theme': 'ad after ad after ad', 'polarity': 'mixed', 'evidence': []}]","[""I don't see any posts from my friends all i see is ad after ad after ad then a random company shows a video just poorly designed but hey our opinions do not matter this has made some people very wealthy and this is just a tick""]",['ad after ad after ad'],[],Facebook is a sluggish and unreliable app that tries to make you feel like you're a celebrity.,Facebook,18
positive,"[{'theme': 'i enjoy this product of', 'polarity': 'mixed', 'evidence': []}]",['i like this product of i like this product of i like this product of i like this product of i like this product of i like this product of i like this product of i like this product of i like this product of i like this product of'],['i enjoy this product of'],[],vpn super unlimited proxy i enjoy this product of,Dropbox,19
negative,"[{'theme': 'bad', 'polarity': 'mixed', 'evidence': []}]","[""I can't log in to my account""]",['bad'],[],... i hate this app like bro i cant even log in don't even deserve one star rating this app seems to have issues now tried to make an id and every,LINE,20
negative,"[{'theme': '0 stars', 'polarity': 'mixed', 'evidence': []}]",['0 stars'],['good'],[],0 stars,Microsoft PowerPoint,21
positive,"[{'theme': 'i love this app very good app not what it used to be terrible app', 'polarity': 'mixed', 'evidence': []}]",['i love this app very good app not what it used to be terrible app i just joined for the first time and i got suspended permanently not allowed to post or repost or like for breaking a rule when i just joined in for 1 minute and this happened how could i'],['i love this app very good app not what it used to be terrible app i just joined for the first time and i got suspended permanently not allowed to post or repost or like for breaking a rule when i just joined in for 1 minute and this happened how could i'],[],i love this app very good app not what it used to be terrible app i just joined for the first time and i got suspended permanently not allowed to post or repost or like for,Twitter,22
positive,"[{'theme': 'i need to work on my homework for school not waiting to deadline really helpful throughout school life', 'polarity': 'mixed', 'evidence': []}]","[""i can't log into my account the ppt i edited can't be shared so a waste of time love it and its enough why my ppt always configuringfetching your files like its take soo long i need to work on my homework for""]",['great app'],[],great app for making presentation,Microsoft PowerPoint,23
negative,"[{'theme': 'Skype is less popular than zoom and whatsapp for video chat i think it was the first video chat platform connections are sometimes slow i have friends who are chinese who use it', 'polarity': 'mixed', 'evidence': []}]",['This app is unintuitive and makes it very difficult for me to operate the application the video gets frozen oft'],['a text and voice translator function'],"[{'owner': 'Engineering', 'action': 'Improve performance/loading', 'priority': 'P1'}, {'owner': 'Design', 'action': 'Improve UI clarity/navigation', 'priority': 'P2'}]",Skype is less popular than zoom and whatsapp for video chat i think it was the first video chat platform connections are sometimes slow i have friends who are chinese who use it,Skype,24
negative,"[{'theme': 'i want to store 2gb', 'polarity': 'mixed', 'evidence': []}]",['i have to redownload the app'],['a lot of useless stuff'],[],... a waste of space,Dropbox,25
positive,"[{'theme': 'good', 'polarity': 'mixed', 'evidence': []}]",['i like this app i recommend thank you and god bless you all team whatsapp maranatha lord yeshua i just really hope its truly endtoend encryptedstill you need to improve some features it very easy and convenient no complaints everything works according'],['good'],[],This messaging app is a great way to communicate with friends and family.,WhatsApp,26
positive,"[{'theme': 'please my account and freeze are you live option on support the my account saajan hindi star 8 worst experience still waiting a month to get some cheap earbuds know', 'polarity': 'mixed', 'evidence': []}]","[""i can't find my earbuds""]",['it works nicely plz give'],[],"Despite its flaws, the app is a solid choice for a quick and easy way to earn money.",TikTok,27
positive,"[{'theme': 'netflix is an excellent app for watching movies web series and documentaries the content quality is great and there is a wide variety of shows in different languages the app runs smoothly and the recommendations are', 'polarity': 'mixed', 'evidence': []}]",['i cant view any of my viewing history this is extremely important and i need to get access to this as soon as possible app keeps glitching black screen that closes out netflix is an excellent app for watching movies web series and documentaries the content quality is great and there is'],['netflix is an excellent app for watching movies web series and documentaries the content quality is great and there is a wide variety of shows in different languages the app runs smoothly and the recommendations are very good perfect for entertainment anytime this is the greed they talk about in the bible i like net'],[],netflix is an excellent app for watching movies web series and documentaries the content quality is great and there is a wide variety of shows in different languages the app runs smoothly and the recommendations are,Netflix,28
negative,"[{'theme': 'sare gane english a rahe hain isko theek karo', 'polarity': 'mixed', 'evidence': []}]","[""i can't open this app""]",['a rahe hain isko theek karo'],[],Bruh this app sucks now my account just got suspended for no reason at all am i the only one ive already appealed my account then it got rejected and permanently,Instagram,29
